Timestamp_Min,Downlink_Throughput_Mbps,Uplink_Throughput_Mbps,Active_Users,Energy_Consumption_Watt,QoS_Drop_Rate_Fraction,External_Temp_C
334,277.1,55.6,94,1738.0,0.0003,31.1
335,286.0,56.8,86,1746.6,0.0001,31.1
336,287.3,58.9,98,1802.9,0.001,31.1
337,283.8,57.0,83,1763.0,0.0001,31.2
338,271.6,54.1,86,1768.1,0.0005,31.2
339,270.6,55.9,95,1724.2,0.0006,31.2
340,277.0,55.0,87,1743.0,0.0003,31.2
341,279.5,56.2,92,1804.0,0.0001,31.2
342,287.1,57.5,100,1806.6,0.001,31.2
343,283.6,57.2,95,1760.8,0.0009,31.3
344,276.6,55.4,92,1760.7,0.0002,31.3
345,291.1,57.3,99,1805.1,0.0007,31.3
346,295.8,62.4,94,1779.4,0.0009,31.3
347,306.8,62.0,98,1838.8,0.0001,31.3
348,279.5,55.3,86,1752.7,0.0006,31.3
349,285.1,58.7,98,1795.6,0.0002,31.4
350,271.9,53.5,84,1775.5,0.0006,31.4
351,288.0,58.3,99,1766.8,0.0004,31.4
352,298.0,60.7,101,1832.1,0.0007,31.4
353,332.0,66.9,109,1896.5,0.0006,31.4
354,295.3,57.6,107,1847.9,0.0001,31.4
355,301.6,58.9,104,1841.2,0.0009,31.5
356,305.6,62.6,106,1866.3,0.0002,31.5
357,287.3,56.9,97,1778.2,0.0002,31.5
358,298.5,60.1,99,1843.0,0.001,31.5
359,290.4,55.9,95,1801.7,0.0005,31.5
360,306.4,60.4,101,1859.2,0.0002,31.5
361,310.7,61.4,110,1866.5,0.0003,31.6
362,299.0,59.0,100,1810.7,0.0001,31.6
363,309.1,61.5,108,1877.1,0.0003,31.6
364,301.8,60.0,97,1832.1,0.0002,31.6
365,310.9,63.0,107,1843.4,0.0008,31.6
366,293.3,60.2,100,1819.2,0.0008,31.6
367,305.5,59.7,104,1840.3,0.0009,31.6
368,299.9,61.6,104,1812.7,0.0002,31.7
369,308.7,61.5,98,1843.8,0.0009,31.7
370,312.1,63.1,109,1813.4,0.0007,31.7
371,285.5,54.9,92,1758.2,0.0003,31.7
372,309.6,61.1,103,1857.7,0.0008,31.7
373,308.4,61.1,98,1868.7,0.0003,31.7
374,303.2,62.7,102,1856.4,0.001,31.7
375,311.5,63.9,105,1844.8,0.0001,31.8
376,324.6,65.7,112,1900.0,0.0006,31.8
377,296.3,58.5,94,1805.7,0.0004,31.8
378,330.9,65.1,116,1940.7,0.0002,31.8
379,327.4,63.8,112,1889.2,0.0009,31.8
380,323.4,66.1,113,1917.3,0.0009,31.8
381,316.0,63.5,108,1863.5,0.0009,31.8
382,339.3,68.0,115,1980.9,0.0001,31.9
383,316.6,63.9,105,1867.0,0.0002,31.9
384,315.3,62.2,114,1897.8,0.0008,31.9
385,319.0,62.6,115,1899.5,0.0007,31.9
386,324.3,63.4,104,1883.9,0.0001,31.9
387,343.6,69.4,119,1935.4,0.0008,31.9
388,341.1,67.5,113,1944.3,0.0008,31.9
389,315.6,63.6,102,1883.8,0.001,32.0
390,316.4,63.1,106,1878.9,0.0001,32.0
391,325.0,65.4,111,1895.0,0.0007,32.0
392,332.8,66.9,116,1936.0,0.0003,32.0
393,339.0,70.1,118,1968.6,0.0007,32.0
394,341.6,67.3,107,1950.5,0.0004,32.0
395,352.9,69.7,128,2022.1,0.0007,32.0
396,341.2,68.6,117,1951.6,0.0006,32.0
397,325.8,64.9,102,1896.0,0.0002,32.1
398,351.0,70.5,121,1994.7,0.0006,32.1
399,345.2,68.5,117,1944.1,0.0004,32.1
400,337.0,68.0,120,1976.4,0.0009,32.1
401,328.9,65.9,112,1951.0,0.0004,32.1
402,336.2,67.5,107,1930.0,0.0005,32.1
403,363.2,73.4,117,2035.7,0.0001,32.1
404,339.8,67.0,120,1967.1,0.0008,32.1
405,356.5,71.2,110,2006.8,0.0003,32.2
406,343.3,66.7,112,1969.2,0.0003,32.2
407,338.9,66.5,113,1953.1,0.001,32.2
408,343.9,68.2,109,1967.1,0.0003,32.2
409,351.2,69.1,119,1997.0,0.0005,32.2
410,354.3,70.5,125,2005.5,0.0006,32.2
411,368.3,72.8,122,2036.8,0.001,32.2
412,363.8,73.0,128,2043.7,0.001,32.2
413,366.5,73.8,123,2051.8,0.0002,32.3
414,360.3,71.8,124,2037.3,0.0003,32.3
415,344.2,70.0,111,1944.8,0.0002,32.3
416,360.1,71.4,120,1990.6,0.0009,32.3
417,376.4,74.6,135,2029.5,0.001,32.3
418,357.4,72.7,119,2007.3,0.0008,32.3
419,363.5,73.8,130,2044.5,0.0006,32.3
420,343.7,70.6,114,1935.9,0.0008,32.3
421,353.7,71.0,119,1997.6,0.0009,32.3
422,366.6,73.1,115,2043.2,0.0004,32.4
423,369.5,73.1,127,2020.1,0.001,32.4
424,355.4,71.4,115,1990.1,0.0009,32.4
425,374.7,73.9,125,2060.2,0.0001,32.4
426,366.2,74.0,119,2029.4,0.0001,32.4
427,392.9,78.1,134,2127.8,0.0009,32.4
428,365.5,73.7,121,1997.6,0.0004,32.4
429,365.0,74.2,121,2026.7,0.0003,32.4
430,380.1,73.7,119,2050.6,0.0007,32.4
431,375.5,74.5,124,2056.7,0.0008,32.4
432,398.3,79.8,129,2133.1,0.0009,32.5
433,378.3,76.1,131,2082.4,0.0002,32.5
434,365.2,73.6,124,2040.7,0.0009,32.5
435,378.6,75.4,130,2070.1,0.0002,32.5
436,386.0,77.9,127,2074.7,0.0008,32.5
437,383.3,78.1,120,2061.0,0.0001,32.5
438,371.0,73.3,127,2061.6,0.0009,32.5
439,397.8,78.7,140,2133.4,0.0009,32.5
440,381.7,76.0,126,2099.5,0.0004,32.5
441,398.2,79.1,138,2110.3,0.0004,32.5
442,383.0,74.6,129,2109.3,0.0008,32.5
443,410.5,81.0,135,2182.7,0.0006,32.6
444,389.1,79.0,123,2086.3,0.0001,32.6
445,386.4,77.1,131,2113.8,0.0006,32.6
446,380.3,76.6,129,2097.2,0.0004,32.6
447,395.0,78.2,143,2159.0,0.0009,32.6
448,404.3,79.2,136,2177.3,0.0004,32.6
449,397.1,80.2,124,2084.1,0.0003,32.6
450,394.0,78.5,134,2146.7,0.0009,32.6
451,406.7,82.6,134,2185.3,0.0008,32.6
452,395.0,78.6,143,2170.1,0.0007,32.6
453,385.6,76.0,130,2109.6,0.0009,32.6
454,422.6,83.1,148,2211.5,0.0001,32.7
455,382.8,76.7,124,2065.7,0.0003,32.7
456,397.7,77.5,134,2146.6,0.0003,32.7
457,400.9,79.6,138,2121.2,0.001,32.7
458,397.6,78.8,126,2195.1,0.001,32.7
459,412.2,81.0,128,2155.8,0.0007,32.7
460,404.8,82.3,137,2172.2,0.0002,32.7
461,400.8,80.6,138,2150.5,0.0007,32.7
462,405.8,80.7,128,2135.3,0.0002,32.7
463,416.9,83.4,134,2186.9,0.0001,32.7
464,416.2,83.7,141,2224.6,0.0007,32.7
465,416.4,84.1,141,2193.2,0.0002,32.7
466,421.2,84.5,137,2189.7,0.0009,32.7
467,407.6,81.7,140,2186.3,0.0009,32.7
468,430.3,85.3,138,2247.1,0.0007,32.8
469,426.2,86.0,143,2208.4,0.0002,32.8
470,419.6,81.6,135,2196.0,0.0004,32.8
471,423.1,84.4,138,2214.1,0.0006,32.8
472,408.7,84.0,139,2180.9,0.0002,32.8
473,407.4,81.3,142,2172.1,0.0007,32.8
474,428.4,84.6,142,2226.6,0.0006,32.8
475,409.9,82.1,142,2192.8,0.0001,32.8
476,428.6,85.6,145,2266.1,0.0008,32.8
477,410.8,81.3,140,2174.9,0.0004,32.8
478,414.7,82.5,139,2160.4,0.001,32.8
479,426.9,84.0,145,2237.1,0.0007,32.8
480,422.5,85.9,140,2237.5,0.0008,32.8
481,416.8,84.0,148,2235.9,0.0003,32.8
482,437.7,87.8,145,2266.6,0.0005,32.8
483,420.5,84.4,144,2235.8,0.001,32.8
484,434.7,86.1,145,2259.8,0.0005,32.9
485,438.3,86.9,152,2250.1,0.0003,32.9
486,436.2,87.8,152,2255.1,0.0006,32.9
487,445.3,90.0,144,2266.4,0.0009,32.9
488,430.7,85.1,135,2232.6,0.0007,32.9
489,460.0,89.9,151,2312.2,0.0001,32.9
490,439.2,88.8,153,2291.7,0.0008,32.9
491,416.8,83.7,141,2202.9,0.0007,32.9
492,424.9,84.2,144,2212.7,0.0005,32.9
493,441.3,87.0,156,2290.2,0.0006,32.9
494,438.9,88.6,146,2315.7,0.0009,32.9
495,431.9,87.4,141,2203.6,0.0001,32.9
496,449.9,89.8,149,2283.8,0.0007,32.9
497,463.9,92.8,155,2323.2,0.0007,32.9
498,431.7,86.4,133,2251.1,0.0003,32.9
499,439.5,88.1,140,2266.3,0.001,32.9
500,436.5,87.1,140,2278.4,0.0004,32.9
501,438.3,85.1,148,2250.8,0.0009,32.9
502,443.8,89.1,148,2283.9,0.0001,32.9
503,434.1,85.8,147,2248.4,0.0008,32.9
504,442.9,89.3,150,2271.8,0.001,32.9
505,443.2,88.9,144,2237.9,0.0005,32.9
506,443.0,87.4,146,2252.2,0.0008,32.9
507,463.9,92.1,153,2368.9,0.0001,32.9
508,453.6,91.5,147,2291.3,0.0002,33.0
509,458.3,92.0,155,2345.0,0.0007,33.0
510,449.3,89.6,146,2275.5,0.0002,33.0
511,440.5,87.0,150,2224.9,0.0002,33.0
512,441.1,87.2,149,2264.5,0.0004,33.0
513,451.3,90.5,147,2265.4,0.0002,33.0
514,450.3,89.5,148,2286.9,0.0007,33.0
515,453.2,89.3,149,2319.0,0.0009,33.0
516,450.4,91.5,147,2290.4,0.0009,33.0
517,468.0,94.2,153,2370.5,0.0002,33.0
518,458.1,90.7,146,2298.3,0.0001,33.0
519,454.7,90.7,150,2323.4,0.0009,33.0
520,461.3,92.5,153,2329.1,0.001,33.0
521,464.6,92.4,154,2334.2,0.0006,33.0
522,460.4,91.8,154,2331.6,0.0008,33.0
523,460.4,91.9,153,2315.5,0.0007,33.0
524,459.2,92.0,161,2327.0,0.0004,33.0
525,455.9,91.8,152,2300.2,0.0007,33.0
526,467.1,92.7,149,2323.6,0.0003,33.0
527,456.0,91.3,152,2306.5,0.0004,33.0
528,461.6,93.5,151,2335.7,0.0008,33.0
529,465.5,93.4,156,2353.5,0.0001,33.0
530,468.1,92.1,158,2377.3,0.0002,33.0
531,463.1,94.1,149,2319.5,0.0005,33.0
532,451.3,89.9,152,2315.0,0.0006,33.0
